species,temperature,precipitation,humidity,longitude,latitude
HPU63254 Helicobacter pylori,27.5,1000,85,-74.006,40.7128
HPU63253 Helicobacter pylori,25.0,950,80,-73.935242,40.730610
HPU63249 Helicobacter pylori,30.0,1200,90,-73.781,40.6413
gHPU63248 Helicobacter pylori,28.0,1100,85,-73.9808,40.7648
HPU63247 Helicobacter pylori,26.5,1050,82,-74.009,40.706
HPU63246 Helicobacter pylori,29.0,1150,88,-73.968,40.785
HPU63245 Helicobacter pylori,24.0,950,78,-73.982,40.758
HPU63243 Helicobacter pylori,27.8,1080,84,-73.971,40.761
HPU63242 Helicobacter pylori,31.0,1250,92,-73.985,40.748
HPU63241 Helicobacter pylori,26.0,1000,80,-73.978,40.762
HPU63240 Helicobacter pylori,27.3,1060,83,-73.981,40.752
HPU63239 Helicobacter pylori,28.5,1120,86,-73.989,40.751
HPU63238 Helicobacter pylori,25.5,980,79,-74.000,40.735
HPU63237 Helicobacter pylori,29.5,1180,89,-73.988,40.747
HPU63236 Helicobacter pylori,24.5,970,77,-73.997,40.729
HPU63235 Helicobacter pylori,27.6,1040,82,-73.984,40.756
HPU63234 Helicobacter pylori,30.2,1230,91,-73.974,40.753
HPU63233 Helicobacter pylori,26.8,1010,81,-73.976,40.743
HPU63232 Helicobacter pylori,28.2,1105,87,-73.987,40.740
HPU63231 Helicobacter pylori,25.8,990,78,-73.965,40.773
HPU63230 Helicobacter pylori,29.1,1160,88,-73.990,40.755
HPU63229 Helicobacter pylori,27.4,1050,83,-73.979,40.764
HPU63228 Helicobacter pylori,28.6,1130,86,-73.986,40.751
HPU63227 Helicobacter pylori,26.2,1015,80,-73.988,40.749
HPU63226 Helicobacter pylori,30.0,1200,90,-73.973,40.755
HPU63225 Helicobacter pylori,24.8,960,79,-73.982,40.745
HPU63224 Helicobacter pylori,27.9,1080,84,-73.975,40.753
HPU63223 Helicobacter pylori,29.7,1180,88,-73.981,40.760
HPU63222 Helicobacter pylori,25.2,980,80,-73.993,40.754
HPU63221 Helicobacter pylori,28.0,1100,85,-73.976,40.739
HPU63220 Helicobacter pylori,27.1,1040,83,-73.984,40.757
HPU63219 Helicobacter pylori,26.4,1020,81,-73.985,40.749
HPU63218 Helicobacter pylori,29.3,1180,88,-73.989,40.752
